accession,family
NC_027119.1,Ackermannviridae
NC_013693.1,Ackermannviridae
NC_019452.1,Ackermannviridae
NC_016073.1,Ackermannviridae
NC_019530.1,Ackermannviridae
NC_025446.1,Ackermannviridae
NC_019910.1,Ackermannviridae
NC_042061.1,Ackermannviridae
NC_020083.1,Ackermannviridae
NC_022772.1,Ackermannviridae
NC_022768.1,Ackermannviridae
NC_025452.1,Ackermannviridae
NC_027340.1,Ackermannviridae
NC_029042.1,Ackermannviridae
NC_030948.1,Ackermannviridae
NC_042047.1,Ackermannviridae
NC_031045.1,Ackermannviridae
NC_031128.1,Ackermannviridae
NC_049378.1,Ackermannviridae
NC_049382.1,Ackermannviridae
NC_048660.1,Ackermannviridae
NC_049396.1,Ackermannviridae
NC_049427.1,Ackermannviridae
NC_047900.1,Ackermannviridae
NC_047901.1,Ackermannviridae
NC_049428.1,Ackermannviridae
NC_049433.1,Ackermannviridae
NC_047932.1,Ackermannviridae
NC_048702.1,Ackermannviridae
NC_049384.1,Ackermannviridae
NC_049437.1,Ackermannviridae
NC_048709.1,Ackermannviridae
NC_049440.1,Ackermannviridae
NC_049439.1,Ackermannviridae
NC_049443.1,Ackermannviridae
NC_048736.1,Ackermannviridae
NC_048186.1,Ackermannviridae
NC_049455.1,Ackermannviridae
NC_048765.1,Ackermannviridae
NC_049462.1,Ackermannviridae
NC_049512.1,Ackermannviridae
NC_049458.1,Ackermannviridae
NC_019925.1,Ackermannviridae
NC_048827.1,Ackermannviridae
NC_049496.1,Ackermannviridae
NC_049497.1,Ackermannviridae
NC_049495.1,Ackermannviridae
NC_049509.1,Ackermannviridae
NC_049503.1,Ackermannviridae
NC_049501.1,Ackermannviridae
NC_049505.1,Ackermannviridae
NC_049502.1,Ackermannviridae
NC_049504.1,Ackermannviridae
NC_049500.1,Ackermannviridae
NC_049508.1,Ackermannviridae
NC_049506.1,Ackermannviridae
NC_049507.1,Ackermannviridae
NC_049499.1,Ackermannviridae
NC_049472.1,Ackermannviridae
NC_016570.1,Ackermannviridae
NC_022343.1,Ackermannviridae
NC_015296.1,Ackermannviridae
AC_000012.1,Adenoviridae
AC_000002.1,Adenoviridae
AC_000007.1,Adenoviridae
AC_000005.1,Adenoviridae
AC_000008.1,Adenoviridae
NC_001405.1,Adenoviridae
AC_000010.1,Adenoviridae
AC_000020.1,Adenoviridae
AC_000017.1,Adenoviridae
AC_000018.1,Adenoviridae
AC_000019.1,Adenoviridae
AC_000004.1,Adenoviridae
AC_000009.1,Adenoviridae
AC_000016.1,Adenoviridae
AC_000011.1,Adenoviridae
AC_000013.1,Adenoviridae
AC_000014.1,Adenoviridae
AC_000001.1,Adenoviridae
AC_000189.1,Adenoviridae
AC_000190.1,Adenoviridae
AC_000191.1,Adenoviridae
AC_000003.1,Adenoviridae
NC_035207.1,Adenoviridae
NC_001876.1,Adenoviridae
NC_001734.1,Adenoviridae
NC_038334.1,Adenoviridae
NC_028107.1,Adenoviridae
NC_006144.1,Adenoviridae
NC_028103.1,Adenoviridae
NC_043093.1,Adenoviridae
NC_001958.1,Adenoviridae
NC_002702.1,Adenoviridae
NC_030792.1,Adenoviridae
NC_044936.1,Adenoviridae
NC_027705.1,Adenoviridae
NC_011202.1,Adenoviridae
NC_011203.1,Adenoviridae
NC_020074.1,Adenoviridae
NC_002501.1,Adenoviridae
NC_002513.1,Adenoviridae
NC_001460.1,Adenoviridae
NC_000942.1,Adenoviridae
NC_003266.2,Adenoviridae
NC_001454.1,Adenoviridae
NC_010956.1,Adenoviridae
NC_001813.1,Adenoviridae
NC_002685.2,Adenoviridae
NC_043214.1,Adenoviridae
NC_043215.1,Adenoviridae
NC_009989.1,Adenoviridae
NC_006879.1,Adenoviridae
NC_043092.1,Adenoviridae
NC_043094.1,Adenoviridae
NC_028113.1,Adenoviridae
NC_034382.1,Adenoviridae
NC_012584.1,Adenoviridae
NC_020485.1,Adenoviridae
NC_012959.1,Adenoviridae
NC_043405.1,Adenoviridae
NC_043695.1,Adenoviridae
NC_043696.1,Adenoviridae
NC_015932.1,Adenoviridae
NC_024474.1,Adenoviridae
NC_024684.1,Adenoviridae
NC_022266.1,Adenoviridae
NC_014899.1,Adenoviridae
NC_024150.1,Adenoviridae
NC_020487.1,Adenoviridae
NC_015225.1,Adenoviridae
NC_017825.1,Adenoviridae
NC_015455.1,Adenoviridae
NC_016437.1,Adenoviridae
NC_025678.1,Adenoviridae
NC_025962.1,Adenoviridae
NC_027708.1,Adenoviridae
NC_044960.1,Adenoviridae
NC_028105.1,Adenoviridae
NC_029899.1,Adenoviridae
NC_029902.1,Adenoviridae
NC_030860.1,Adenoviridae
NC_030874.1,Adenoviridae
NC_029898.1,Adenoviridae
NC_031503.1,Adenoviridae
NC_032105.1,Adenoviridae
NC_031948.1,Adenoviridae
NC_039032.1,Adenoviridae
NC_034834.1,Adenoviridae
NC_040811.1,Adenoviridae
NC_055528.1,Adenoviridae
NC_055526.1,Adenoviridae
NC_030116.1,Adenoviridae
NC_021168.1,Adenoviridae
NC_016895.2,Adenoviridae
NC_004037.2,Adenoviridae
NC_021221.1,Adenoviridae
NC_038332.1,Adenoviridae
NC_001720.1,Adenoviridae
NC_015323.1,Adenoviridae
NC_000899.1,Adenoviridae
NC_014564.2,Adenoviridae
NC_017979.1,Adenoviridae
NC_022612.1,Adenoviridae
NC_022613.1,Adenoviridae
NC_024486.1,Adenoviridae
NC_038333.1,Adenoviridae
NC_034626.1,Adenoviridae
NC_035072.1,Adenoviridae
NC_075973.1,Adenoviridae
NC_075965.1,Adenoviridae
NC_075488.1,Adenoviridae
NC_075452.1,Adenoviridae
NC_075450.1,Adenoviridae
